ESTATÍSTICA DA APLICAÇÃO;;;;;
Desempenho por Competência;;;;;
;;;;;
;;;;;
;;;;;
Técnico em Desenvolvimento de Sistemas;2024.2-TDESIpre-AV.DIAG.FASE1;7/2022 à 6/2026;0,00%;8,13;5,88
CURSO;AVALIAÇÃO;PERÍODO DE VIGÊNCIA DA MATRIZ;DESEMPENHO MÉDIO;ACERTOS MÉDIO;ERROS MÉDIO
;;;;;
;;;;;
Subfunção;Padrão de desempenho;Capacidade;Conhecimento;Aproveitamento;
Codificar programas;Adotando técnicas e métodos de programação (boas práticas, depuração, documentação de código)//Aplicando testes unitários de acordo com as especificações técnicas//Seguindo procedimentos de preparação de ambiente (IDE), em conformidade com as especificações técnicas//Utilizando linguagens de programação//Utilizando linguagens de programação (lógica de programação);Aplicar lógica de programação na resolução de problemas computacionais.;Expressões lógicas e aritméticas;70,60%;
Desenvolver sistemas com tecnologia IOT;Considerando especificações técnicas da tecnologia IOT para coleta de dados em plantas industriais//Considerando especificações técnicas da tecnologia IOT para integração de dispositivos de comunicação de dados//Considerando especificações técnicas da tecnologia IOT para sensoriamento e parametrização de robôs;Compreender fundamentos de eletroeletrônica aplicada no desenvolvimento de sistemas;Conceitos de eletricidade e grandezas;64,10%;
Manter sistemas;Adotando métodos e processos de manutenção e atualização do sistema de acordo com as falhas documentadas//Considerando as demandas de manutenção (tipo, procedimento, registro)//Seguindo procedimentos de prestação de suporte técnico de acordo com as especificações técnicas (documentação e classificação de falhas);Utilizar aplicações e sistema operacional no desenvolvimento de documentação de sistemas web.;Serviços de implantação e manutenção de sistemas | Softwares de escritório;58,30%;
Codificar sistemas;Adotando técnicas e métodos de desenvolvimento (boas práticas, padrões de desenvolvimento, depuração, documentação de sistemas, versionamento, repositório, rastreabilidade)//Considerando análise de requisitos conforme regra de negócio//Considerando arquitetura de sistemas em conformidade com requisitos de qualidade, integridade, usabilidade e segurança da informação//Seguindo metodologia de desenvolvimento//Utilizando linguagens de programação;Aplicar lógica de programação na resolução de problemas computacionais.;Algoritmos de busca e ordenação | Estrutura de dados;49,00%;
Implantar sistemas;Considerando plano de implantação do sistema (cronograma de instalação e operação)//Documentando procedimento técnico de implantação//Estabelecendo configuração e parametrização do sistema de acordo com as especificações do sistema//Seguindo procedimentos de implantação (compatibilidade, instalação, migração de dados)//Seguindo procedimentos de treinamento ao cliente/usuário//Validando implantação do sistema de acordo com as especificações do sistema (ambiente de produção);Utilizar aplicações e sistema operacional no desenvolvimento de documentação de sistemas web.;Softwares de escritório;9,40%;
